檔名,類型,放入資料夾,建議規格,中文 prompt,英文 prompt,建議工具
style_11.jpg,圖像・電影感・故事・黃金時刻,images/,1280×720 JPG (16:9),"黃金時刻逆光,溫暖朦朧光暈,太陽光斑,夢幻柔焦散景,浪漫","golden hour backlight, warm hazy glow, sun flare, dreamy, soft bokeh, romantic",Artlist / Higgsfield
style_12.jpg,圖像・電影感・故事・賽博龐克,images/,1280×720 JPG (16:9),"賽博龐克霓虹都市,雨夜,紫紅青藍光暈,濕滑反光街道,銀翼殺手氛圍","cyberpunk neon city, rainy night, magenta and cyan glow, wet reflective streets, blade runner mood",Artlist / Higgsfield
style_13.jpg,圖像・電影感・故事・史詩奇幻,images/,1280×720 JPG (16:9),"史詩奇幻地景,體積光神聖光束,宏大尺度,壯闊冒險感,戲劇性天空","epic fantasy landscape, volumetric god rays, vast scale, sweeping adventure, dramatic sky",Artlist / Higgsfield
style_14.jpg,圖像・電影感・故事・復古菲林,images/,1280×720 JPG (16:9),"70 年代復古膠片,褪色暖調,漏光效果,柯達懷舊質感,顆粒感","vintage 70s film, faded warm tones, light leaks, nostalgic, kodak portra, grainy",Artlist / Higgsfield
style_15.jpg,圖像・電影感・故事・懸疑驚悚,images/,1280×720 JPG (16:9),"懸疑驚悚氛圍,冷峻低飽和藍調,霧氣瀰漫,緊張不安,昏暗陰森","suspense thriller, cold desaturated blue, fog, tense atmosphere, dim, ominous",Artlist / Higgsfield
style_16.jpg,圖像・電影感・故事・溫馨家庭,images/,1280×720 JPG (16:9),"溫馨家庭時刻,柔和暖光,淺金色調,親密溫情,舒適柔軟","heartwarming family, soft warm light, gentle golden tone, intimate, cozy, tender mood",Artlist / Higgsfield
style_17.jpg,圖像・電影感・故事・黑暗哥德,images/,1280×720 JPG (16:9),"黑暗哥德風,深沉陰影,搖曳燭光,巴洛克華麗陰鬱,戲劇張力","dark gothic, deep shadows, candlelight, baroque ornate, brooding, dramatic",Artlist / Higgsfield
style_18.jpg,圖像・社群短片・Vlog 自然,images/,1280×720 JPG (16:9),"Vlog 風格,手持自然光,真實隨性,自拍視角親切感,明亮通透","vlog style, handheld natural light, authentic candid, selfie angle, relatable, bright",Artlist / Higgsfield
style_19.jpg,圖像・社群短片・ASMR 質感,images/,1280×720 JPG (16:9),"ASMR 超近特寫,柔光擴散,極致紋理細節,觸感療癒,微距","asmr close-up, soft diffused light, extreme texture detail, tactile, satisfying, macro",Artlist / Higgsfield
style_20.jpg,圖像・社群短片・動感快剪,images/,1280×720 JPG (16:9),"高能量動感,鮮明色彩,運動模糊,快節奏,潮流有力","high energy dynamic, vivid colors, motion blur, fast-paced, punchy, trendy",Artlist / Higgsfield
style_21.jpg,圖像・社群短片・Y2K 復古,images/,1280×720 JPG (16:9),"Y2K 千禧美學,金屬粉藍,早期數碼感,故障特效,2000 年代懷舊","y2k aesthetic, metallic pink and blue, early digital, glitch effects, nostalgic 2000s",Artlist / Higgsfield
style_22.jpg,圖像・社群短片・療癒清新,images/,1280×720 JPG (16:9),"療癒清新美學,柔和粉彩,自然元素,平靜放鬆,輕盈通透","aesthetic clean girl, soft pastel, natural elements, calming, fresh, airy",Artlist / Higgsfield
style_23.jpg,圖像・社群短片・街頭潮流,images/,1280×720 JPG (16:9),"街頭潮流風,塗鴉背景,大膽嘻哈,粗糲都市感,潮流時尚","streetwear urban, graffiti backdrop, bold, hip hop, gritty city, trendy fashion",Artlist / Higgsfield
style_24.jpg,圖像・社群短片・食譜俯拍,images/,1280×720 JPG (16:9),"正上方俯拍平鋪,食譜構圖,明亮均勻光,整齊有序,乾淨","overhead flat lay, top-down, recipe layout, bright even light, organized, clean",Artlist / Higgsfield
style_25.jpg,圖像・人物・專業人像,images/,1280×720 JPG (16:9),"專業形象照,柔和環形燈,乾淨背景,眼神銳利,自信專業","professional headshot, soft ring light, clean background, sharp eyes, confident, corporate",Artlist / Higgsfield
style_26.jpg,圖像・人物・環境人像,images/,1280×720 JPG (16:9),"環境人像,人物置於工作情境中,自然光,敘事氛圍感","environmental portrait, subject in context, natural light, storytelling, atmospheric",Artlist / Higgsfield
style_27.jpg,圖像・人物・時尚編輯,images/,1280×720 JPG (16:9),"高級時裝編輯風,戲劇化造型,雜誌封面質感,大膽姿態,影樓閃燈","high fashion editorial, dramatic styling, magazine cover, bold pose, studio strobe",Artlist / Higgsfield
style_28.jpg,圖像・人物・自然紀實,images/,1280×720 JPG (16:9),"紀實人像,真實情緒流露,未經擺拍,新聞攝影誠實感","documentary portrait, raw emotion, unposed, candid, photojournalistic, honest",Artlist / Higgsfield
style_29.jpg,圖像・人物・柔美夢幻,images/,1280×720 JPG (16:9),"夢幻柔美人像,光暈柔焦,粉嫩色調,浪漫空靈,溫柔","dreamy soft portrait, glowing halation, pastel tones, romantic, ethereal, gentle",Artlist / Higgsfield
style_30.jpg,圖像・人物・戲劇光影,images/,1280×720 JPG (16:9),"戲劇性人像,單側硬光,深邃陰影,雕塑立體感,倫勃朗光","dramatic portrait, single hard side light, deep shadow, sculptural, rembrandt lighting",Artlist / Higgsfield
style_31.jpg,圖像・產品・圖象・懸浮產品,images/,1280×720 JPG (16:9),"懸浮產品,純色背景,漂浮失重感,投影陰影,乾淨影樓","floating product, solid color background, levitating, drop shadow, clean studio",Artlist / Higgsfield
style_32.jpg,圖像・產品・圖象・水花飛濺,images/,1280×720 JPG (16:9),"高速水花攝影,凝結液體瞬間,動感飛濺,清涼水珠","splash photography, frozen liquid, high speed, dynamic, refreshing, droplets",Artlist / Higgsfield
style_33.jpg,圖像・產品・圖象・等距插畫,images/,1280×720 JPG (16:9),"等距 3D 插畫,柔和配色,可愛幾何造型,乾淨俏皮","isometric 3d illustration, soft colors, cute geometric, clean, playful",Artlist / Higgsfield
style_34.jpg,圖像・產品・圖象・漸變抽象,images/,1280×720 JPG (16:9),"柔順網格漸變,流體有機形狀,現代抽象,柔和光暈","smooth gradient mesh, fluid organic shapes, modern abstract, soft glow",Artlist / Higgsfield
style_35.jpg,圖像・產品・圖象・微距細節,images/,1280×720 JPG (16:9),"極限微距,紋理放大,抽象質感細節,精緻複雜","extreme macro, magnified texture, abstract detail, intricate, tactile",Artlist / Higgsfield
style_36.jpg,圖像・動畫・風格化・日系動畫,images/,1280×720 JPG (16:9),"日系賽璐璐動畫,鮮明乾淨線條,戲劇性動漫天空,富有表現力","anime cel shaded, vibrant clean lines, dramatic anime sky, expressive, studio quality",Artlist / Higgsfield
style_37.jpg,圖像・動畫・風格化・3D 皮克斯,images/,1280×720 JPG (16:9),"皮克斯風 3D,圓潤可愛,柔和全局光照,溫暖討喜角色感","pixar style 3d, rounded cute, soft global illumination, warm, charming character",Artlist / Higgsfield
style_38.jpg,圖像・動畫・風格化・手繪水彩,images/,1280×720 JPG (16:9),"手繪水彩插畫,柔邊暈染,紙張紋理,溫柔藝術氣息","watercolor illustration, soft bleeding edges, paper texture, gentle, artistic",Artlist / Higgsfield
style_39.jpg,圖像・動畫・風格化・黏土定格,images/,1280×720 JPG (16:9),"黏土定格動畫,手作質感,溫馨童趣,觸感可愛","claymation stop motion, handmade texture, cute, tactile, whimsical",Artlist / Higgsfield
style_40.jpg,圖像・動畫・風格化・扁平向量,images/,1280×720 JPG (16:9),"扁平向量設計,大膽色塊,極簡現代幾何,乾淨俐落","flat vector design, bold color blocks, minimal, modern, clean geometric",Artlist / Higgsfield
dollyin.mp4,短片・推軌入,videos/,1280×720 MP4 H.264 · 5 秒 · 循環友好,"一個人企喺翠綠山谷中,柔和日光,電影感,鏡頭緩慢推近主體","a person standing in a scenic green valley, soft daylight, cinematic, slow dolly in toward the person, 5 seconds",Higgsfield
dollyout.mp4,短片・推軌出,videos/,1280×720 MP4 H.264 · 5 秒 · 循環友好,"一個人企喺翠綠山谷中,柔和日光,電影感,鏡頭緩慢拉遠揭示山谷全景","a person standing in a scenic green valley, soft daylight, cinematic, slow dolly out revealing the valley, 5 seconds",Higgsfield
pan.mp4,短片・橫搖,videos/,1280×720 MP4 H.264 · 5 秒 · 循環友好,"一個人企喺翠綠山谷中,柔和日光,電影感,鏡頭平滑由左至右橫搖","a person standing in a scenic green valley, soft daylight, cinematic, smooth pan left to right across the valley, 5 seconds",Higgsfield
tilt.mp4,短片・直搖,videos/,1280×720 MP4 H.264 · 5 秒 · 循環友好,"一個人企喺翠綠山谷中,柔和日光,電影感,鏡頭由地面向上直搖到天空","a person standing in a scenic green valley, soft daylight, cinematic, tilt up from the ground to the sky, 5 seconds",Higgsfield
orbit.mp4,短片・環繞,videos/,1280×720 MP4 H.264 · 5 秒 · 循環友好,"一個人企喺翠綠山谷中,柔和日光,電影感,鏡頭圍繞主體環迴運動","a person standing in a scenic green valley, soft daylight, cinematic, camera orbiting around the person, 5 seconds",Higgsfield
track.mp4,短片・跟拍,videos/,1280×720 MP4 H.264 · 5 秒 · 循環友好,"一個人企喺翠綠山谷中,柔和日光,電影感,跟隨主體行走移動拍攝","a person standing in a scenic green valley, soft daylight, cinematic, tracking shot following the person walking, 5 seconds",Higgsfield
hand.mp4,短片・手持,videos/,1280×720 MP4 H.264 · 5 秒 · 循環友好,"一個人企喺翠綠山谷中,柔和日光,電影感,手持鏡頭,輕微晃動,紀實感","a person standing in a scenic green valley, soft daylight, cinematic, handheld camera, slight shake, documentary feel, 5 seconds",Higgsfield
zoom.mp4,短片・快速變焦,videos/,1280×720 MP4 H.264 · 5 秒 · 循環友好,"一個人企喺翠綠山谷中,柔和日光,電影感,快速變焦推入主體","a person standing in a scenic green valley, soft daylight, cinematic, fast zoom punch in on the person, 5 seconds",Higgsfield
whip.mp4,短片・甩鏡,videos/,1280×720 MP4 H.264 · 5 秒 · 循環友好,"一個人企喺翠綠山谷中,柔和日光,電影感,快速甩鏡橫掃帶動態模糊","a person standing in a scenic green valley, soft daylight, cinematic, whip pan transition with motion blur, 5 seconds",Higgsfield
drone.mp4,短片・航拍升降,videos/,1280×720 MP4 H.264 · 5 秒 · 循環友好,"一個人企喺翠綠山谷中,柔和日光,電影感,航拍鏡頭緩緩拉升俯瞰山谷","a person standing in a scenic green valley, soft daylight, cinematic, aerial drone shot rising up over the valley, 5 seconds",Higgsfield
walk.mp4,短片・主體行走,videos/,1280×720 MP4 H.264 · 5 秒 · 循環友好,"一個人企喺翠綠山谷中,柔和日光,電影感,主體緩慢由左行到右,鏡頭固定","a person standing in a scenic green valley, soft daylight, cinematic, the person slowly walking left to right, static camera, 5 seconds",Higgsfield
turn.mp4,短片・主體轉身,videos/,1280×720 MP4 H.264 · 5 秒 · 循環友好,"一個人企喺翠綠山谷中,柔和日光,電影感,主體緩緩轉身面向鏡頭,鏡頭固定","a person standing in a scenic green valley, soft daylight, cinematic, the person slowly turns to face the camera, static camera, 5 seconds",Higgsfield
raise.mp4,短片・主體舉手,videos/,1280×720 MP4 H.264 · 5 秒 · 循環友好,"一個人企喺翠綠山谷中,柔和日光,電影感,主體舉起一隻手揮動,五指正常,鏡頭固定","a person standing in a scenic green valley, soft daylight, cinematic, the person raises one hand to wave, five fingers, static camera, 5 seconds",Higgsfield
lean.mp4,短片・主體前傾,videos/,1280×720 MP4 H.264 · 5 秒 · 循環友好,"一個人企喺翠綠山谷中,柔和日光,電影感,主體向鏡頭前傾靠近,鏡頭固定","a person standing in a scenic green valley, soft daylight, cinematic, the person leans in toward the camera, static camera, 5 seconds",Higgsfield
